10:02:07.374 [ApplicationImpl pooled thread 30] INFO  com.browserstack.sdk.utils.Helpers - C:/Users/ftheofil/.m2/repository/com/browserstack/browserstack-java-sdk/1.50.4/browserstack-java-sdk-1.50.4.jar
10:02:07.374 [ApplicationImpl pooled thread 30] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: C:/Users/ftheofil/.m2/repository/com/browserstack/browserstack-java-sdk/1.50.4/browserstack-java-sdk-1.50.4.jar
10:02:07.374 [ApplicationImpl pooled thread 30] INFO  c.b.s.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
10:02:07.374 [ApplicationImpl pooled thread 30] INFO  c.b.s.l.BrowserStackRunExtension - Plugin version: 2.0.4-IC
10:13:31.677 [ApplicationImpl pooled thread 77] INFO  c.b.s.l.BrowserStackRunExtension - cucumber java
10:13:31.677 [ApplicationImpl pooled thread 77] INFO  com.browserstack.sdk.utils.Helpers - true
10:13:31.680 [ApplicationImpl pooled thread 77] INFO  com.browserstack.sdk.utils.Helpers - C:/Users/ftheofil/.m2/repository/com/browserstack/browserstack-java-sdk/1.50.4/browserstack-java-sdk-1.50.4.jar
10:13:31.680 [ApplicationImpl pooled thread 77] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: C:/Users/ftheofil/.m2/repository/com/browserstack/browserstack-java-sdk/1.50.4/browserstack-java-sdk-1.50.4.jar
10:13:31.680 [ApplicationImpl pooled thread 77] INFO  c.b.s.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
10:13:31.680 [ApplicationImpl pooled thread 77] INFO  c.b.s.l.BrowserStackRunExtension - Plugin version: 2.0.4-IC
10:18:51.127 [ApplicationImpl pooled thread 42] INFO  c.b.s.l.BrowserStackRunExtension - cucumber java
10:18:51.127 [ApplicationImpl pooled thread 42] INFO  com.browserstack.sdk.utils.Helpers - true
10:18:51.130 [ApplicationImpl pooled thread 42] INFO  com.browserstack.sdk.utils.Helpers - C:/Users/ftheofil/.m2/repository/com/browserstack/browserstack-java-sdk/1.50.4/browserstack-java-sdk-1.50.4.jar
10:18:51.131 [ApplicationImpl pooled thread 42] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: C:/Users/ftheofil/.m2/repository/com/browserstack/browserstack-java-sdk/1.50.4/browserstack-java-sdk-1.50.4.jar
10:18:51.131 [ApplicationImpl pooled thread 42] INFO  c.b.s.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
10:18:51.131 [ApplicationImpl pooled thread 42] INFO  c.b.s.l.BrowserStackRunExtension - Plugin version: 2.0.4-IC
10:19:30.734 [ApplicationImpl pooled thread 84] INFO  c.b.s.l.BrowserStackRunExtension - cucumber java
10:19:30.734 [ApplicationImpl pooled thread 84] INFO  com.browserstack.sdk.utils.Helpers - true
10:19:30.738 [ApplicationImpl pooled thread 84] INFO  com.browserstack.sdk.utils.Helpers - C:/Users/ftheofil/.m2/repository/com/browserstack/browserstack-java-sdk/1.50.4/browserstack-java-sdk-1.50.4.jar
10:19:30.738 [ApplicationImpl pooled thread 84] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: C:/Users/ftheofil/.m2/repository/com/browserstack/browserstack-java-sdk/1.50.4/browserstack-java-sdk-1.50.4.jar
10:19:30.738 [ApplicationImpl pooled thread 84] INFO  c.b.s.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
10:19:30.738 [ApplicationImpl pooled thread 84] INFO  c.b.s.l.BrowserStackRunExtension - Plugin version: 2.0.4-IC
10:22:10.432 [ApplicationImpl pooled thread 84] INFO  c.b.s.l.BrowserStackRunExtension - cucumber java
10:22:10.432 [ApplicationImpl pooled thread 84] INFO  com.browserstack.sdk.utils.Helpers - true
