sdk:driver:quit|3.0501999855041504
sdk:automate:hub-management|1697.161600112915
sdk:driver:pre-initialization|2.1303999423980713
sdk:driver:get|3.4918999671936035
sdk:setup|4907.730299949646
sdk:cli:on-bootstrap|9.198800086975098
sdk:driver:quit|2.89739990234375
sdk:automate:hub-management|1737.7588000297546
sdk:driver:pre-initialization|2.5826001167297363
sdk:driver:get|3.947200059890747
sdk:setup|4718.9296000003815
sdk:cli:on-bootstrap|10.549999952316284
sdk:driver:quit|3.72379994392395
sdk:automate:hub-management|1697.6471998691559
sdk:driver:pre-initialization|2.5346999168395996
sdk:driver:get|3.9189999103546143
sdk:setup|4665.1421999931335
sdk:cli:on-bootstrap|9.894500017166138
sdk:driver:quit|1.8306000232696533
sdk:automate:hub-management|1712.1888000965118
sdk:driver:pre-initialization|1.4942998886108398
sdk:driver:get|2.691699981689453
sdk:setup|4652.11510014534
sdk:cli:on-bootstrap|9.213299989700317
sdk:driver:quit|2.5460000038146973
sdk:automate:hub-management|1723.646399974823
sdk:driver:pre-initialization|1.6808998584747314
sdk:driver:get|2.98580002784729
sdk:setup|4463.923099994659
sdk:cli:on-bootstrap|8.996599912643433
sdk:driver:quit|2.301499843597412
sdk:automate:hub-management|1748.5268998146057
sdk:driver:pre-initialization|4.491300106048584
sdk:driver:get|6.383999824523926
sdk:setup|4626.009799957275
sdk:cli:on-bootstrap|7.457200050354004
sdk:driver:quit|2.6311001777648926
sdk:automate:hub-management|1699.2539999485016
sdk:driver:pre-initialization|1.4045000076293945
sdk:driver:get|2.383000135421753
sdk:setup|3806.7292001247406
sdk:cli:on-bootstrap|9.56909990310669
sdk:driver:quit|1.605299949645996
sdk:automate:hub-management|1733.5950999259949
sdk:driver:pre-initialization|3.666599988937378
sdk:driver:get|4.6011998653411865
sdk:setup|3713.6352999210358
sdk:cli:on-bootstrap|7.9802000522613525
sdk:driver:quit|1.4382002353668213
sdk:automate:hub-management|1707.8643000125885
sdk:driver:pre-initialization|1.6575000286102295
sdk:driver:get|2.773400068283081
sdk:setup|3872.0207998752594
sdk:cli:on-bootstrap|10.867000102996826
sdk:driver:quit|1.9773998260498047
sdk:automate:hub-management|1799.0300998687744
sdk:driver:pre-initialization|1.3178999423980713
sdk:driver:get|2.339400053024292
sdk:setup|4238.4135999679565
sdk:cli:on-bootstrap|8.50730013847351
sdk:driver:quit|2.311500072479248
sdk:automate:hub-management|1700.3503999710083
sdk:driver:pre-initialization|1.9236998558044434
sdk:driver:get|3.3138999938964844
sdk:setup|4102.324100017548
sdk:cli:on-bootstrap|9.585299968719482
sdk:driver:quit|2.6043999195098877
sdk:automate:hub-management|1693.7730000019073
sdk:driver:pre-initialization|1.681300163269043
sdk:driver:get|3.1410000324249268
sdk:setup|3617.5552999973297
sdk:cli:on-bootstrap|8.882200002670288
sdk:driver:quit|2.3970999717712402
sdk:automate:hub-management|2450.4504001140594
sdk:driver:pre-initialization|1.4860999584197998
sdk:driver:get|2.674799919128418
sdk:setup|4592.243200063705
sdk:cli:on-bootstrap|9.474400043487549
sdk:driver:quit|1.791100025177002
sdk:automate:hub-management|1730.091500043869
sdk:driver:pre-initialization|0.9391000270843506
sdk:driver:get|1.6905999183654785
sdk:setup|3798.555600166321
sdk:cli:on-bootstrap|7.902899980545044
sdk:driver:quit|1.8856000900268555
sdk:automate:hub-management|1735.9916999340057
sdk:driver:pre-initialization|1.770900011062622
sdk:driver:get|2.91159987449646
sdk:setup|3954.292999982834
sdk:cli:on-bootstrap|10.551900148391724
sdk:driver:quit|2.383000135421753
sdk:automate:hub-management|1714.3914000988007
sdk:driver:pre-initialization|1.896899938583374
sdk:driver:get|2.994999885559082
sdk:setup|3769.2088000774384
sdk:cli:on-bootstrap|8.557299852371216
sdk:driver:quit|2.8386001586914062
sdk:automate:hub-management|1778.679300069809
sdk:driver:pre-initialization|1.5139999389648438
sdk:driver:get|2.643099784851074
sdk:setup|3688.4697999954224
sdk:cli:on-bootstrap|9.145100116729736
sdk:driver:quit|2.1150999069213867
sdk:automate:hub-management|1745.7841000556946
sdk:driver:pre-initialization|1.632200002670288
sdk:driver:get|2.772199869155884
sdk:setup|3710.3201999664307
sdk:cli:on-bootstrap|7.989599943161011
sdk:driver:quit|2.256200075149536
sdk:automate:hub-management|2152.784999847412
sdk:driver:pre-initialization|1.4161999225616455
sdk:driver:get|2.542799949645996
sdk:setup|4371.222899913788
sdk:cli:on-bootstrap|9.68619990348816
sdk:driver:quit|1.7878000736236572
sdk:automate:hub-management|1730.69620013237
sdk:driver:pre-initialization|1.288299798965454
sdk:driver:get|2.286400079727173
sdk:setup|4258.695600032806
sdk:cli:on-bootstrap|8.880899906158447
sdk:driver:quit|3.1895999908447266
sdk:automate:hub-management|3888.367900133133
sdk:driver:pre-initialization|2.331700086593628
sdk:driver:get|3.662899971008301
sdk:setup|7000.532700061798
sdk:cli:on-bootstrap|10.29670000076294
sdk:driver:quit|2.4881999492645264
sdk:automate:hub-management|2439.8499999046326
sdk:driver:pre-initialization|2.1745998859405518
sdk:driver:get|3.349599838256836
sdk:setup|6154.407700061798
sdk:cli:on-bootstrap|10.115599870681763
sdk:driver:quit|1.4988999366760254
sdk:automate:hub-management|2460.425199985504
sdk:driver:pre-initialization|1.6218998432159424
sdk:driver:get|2.6263999938964844
sdk:setup|4428.5869998931885
sdk:cli:on-bootstrap|9.051100015640259
sdk:driver:quit|1.5536999702453613
sdk:automate:hub-management|2471.452199935913
sdk:driver:pre-initialization|1.0799000263214111
sdk:driver:get|1.8964998722076416
